filename,source_split,cancer,normal
image-no531-normal-_png.rf.08eeb57b24a9062d798b382555c3f3c1.jpg,train,0,1
IMG0000240_jpg.rf.094924a72ca1ab5e26477e50abac01a6.jpg,train,0,1
image-no52-normal-_png.rf.08f33a992911794d2381b5446e705057.jpg,train,0,1
bone-cancer_train_2_2322_png.rf.088e4d5a855c0761499943891ecfc377.jpg,train,1,0
fibula_osteosarcoma_18_PNG.rf.08cfa297f7fbcdf931fc1d9ac5ee524d.jpg,train,1,0
IMG0000679_jpg.rf.0960227f4630be0d5e5f8087859ea28b.jpg,train,0,1
IMG0000679_jpg.rf.091c2410ad59d5344b9278f6e04880b4.jpg,train,0,1
image-no607-normal-_png.rf.08ad77c36a759e5162b87cb5306f9e39.jpg,train,0,1
IMG0000707_jpg.rf.09416febc94c2f1a147027b1ebc88ccd.jpg,train,0,1
IMG0000382_jpg.rf.08e49ad8cd4d3f685a3bdb8eba7a062c.jpg,train,0,1
bone-cancer_train_2_2252_png.rf.08a78dab9c52a41518f6db8de763ad68.jpg,train,1,0
IMG0000598_jpg.rf.089a0df9d14603b267acc06969aa288d.jpg,train,0,1
IMG0000879_jpg.rf.08c344f7d36115fe592a6f80fd6ad6ee.jpg,train,0,1
bone-cancer_valid_2_359_png.rf.08e56d44cc0161a534c3814818a2104e.jpg,train,1,0
bone-cancer_valid_118_png.rf.092961f3e2788f8bf121fdc2ba625f50.jpg,train,1,0
bone-cancer_valid_339_png.rf.094bc7b5a9509637a4cda432e09cef38.jpg,train,1,0
bone-cancer_train_2_1922_png.rf.09890d198510fede3a96f3f91caea4d1.jpg,train,1,0
bone-cancer_train_2_1801_png.rf.0998acd64a363f0d3cd46ff4419e798e.jpg,train,1,0
cervical-spine_11_png.rf.09ce2d189a21f6b55d45477e99cb1eb0.jpg,train,1,0
tibia_other_12_PNG.rf.09b2eca632097a9ee6a04fef4b7cff7c.jpg,train,1,0
IMG0000785_jpg.rf.09d0b35cce2eae54c43a3f8694c56593.jpg,train,0,1
bone-cancer_valid_332_png.rf.09dd4b73698175432069b137e2a6b7f6.jpg,train,1,0
